0,1
data2/50353.png,Qxg7
data2/50073.png,Be8
test_data/images/1601.jpe,Nc3
data/461.png,Ka5
data2/50392.png,O-O
data2/50773.png,Qd4#
test_data/images/1457.png,Bf2
data2/51392.png,Qe5#
data/1074.png,Qd6
test_data/images/1447.png,Nc3
data/412.png,Bg6#
data/338.png,Rg5
data2/50571.png,Ne8#
data/381.png,e1+
data2/50295.png,Qe3+
test_data/images/1971.jpe,Nc3
data/270.png,Qf6+
data/565.png,Ne4
data2/51233.png,f7#
test_data/images/2075.jpe,Rf7
data/1044.png,Ng7+
data2/51261.png,Nb8#
test_data/images/1799.jpe,e5
data/1056.png,Qxg2
data/1425.png,Rb1
data2/51437.png,Re4
data/689.png,f4#
test_data/images/1420.jpe,Nc3
data2/50123.png,Qd1+
data2/51222.png,xh5
data2/50743.png,Kd8#
data/1157.png,Nf5+
data/1170.png,Rc8
data/341.png,Qxb3
data2/51166.png,Rf4+
test_data/images/1451.png,f4
data2/51009.png,b1+
test_data/images/1192.jpe,Bb2
test_data/images/146.png,b5
data/488.png,Na7#
data2/50777.png,Kc3#
data/1482.png,Qxb8
data2/50959.png,c8#
data/791.png,Qc4
test_data/images/1259.jpe,Bd4+
data2/50404.png,Qxb8
test_data/images/2272.jpe,Bc3
data/34.png,Na4
data2/50045.png,Bg6
data/820.png,Rh1+
data2/50301.png,Qh4+
data2/51218.png,Rg3#
data2/51164.png,Rxd5
data2/50866.png,Bd5
data/1256.png,Qe5
data2/50265.png,Qh6+
data/183.png,Qxa3
data2/50234.png,a4+
data/509.png,Kxg4
data/387.png,xg6
data2/51425.png,Kb7
data/427.png,Nxh5
data/1010.png,Ne4
test_data/images/1204.jpe,Bc3
data/1156.png,xe5
data2/51254.png,Nh2#
data/818.png,Qb7
data2/50331.png,Kd1+
test_data/images/1667.jpe,d5
data/86.png,Ba1#
data2/50050.png,Na2
test_data/images/1683.jpe,Bc3
data2/51063.png,Bxd1
test_data/images/1469.png,g5
data2/50708.png,Rxd2
data/1398.png,Kxg7
data2/50659.png,Rxa3
data2/50836.png,Ke3
data2/51417.png,xf7
data2/50757.png,Bxc2
test_data/images/1846.jpe,c3
data/1245.png,Bf1
data2/50858.png,Ba8+
data/795.png,c8
data2/50115.png,Kf2+
data/811.png,xg6
data2/50683.png,Bb2
test_data/images/199.png,cxd4
data/996.png,Bc3#
data2/50219.png,Be6+
data2/50509.png,Nc7#
data/1416.png,Be7
data2/51008.png,Be7
data/1167.png,Na2
data/1145.png,Ka2
data2/50637.png,Nh7#
data/525.png,Bxf2
test_data/images/1444.png,cxd4
data/1126.png,Bd1#
data2/50827.png,Qxe2
data2/50878.png,Bd5+
data2/50035.png,Na8+
test_data/images/1850.jpe,Qxc7
data/856.png,Rb3
data/1018.png,Rb7#
data/552.png,Qf5+
data/1031.png,Nxb3
test_data/images/1367.png,Nxd5
data/969.png,Bxd2
data/1040.png,Rg4
test_data/images/171.png,c4
data2/51182.png,Ra5+
data/401.png,Ka4
data2/51334.png,Qb6
test_data/images/1271.png,Nf6
data2/50945.png,Qf2#
test_data/images/1704.jpe,Qa6
data2/50912.png,Qh6#
data2/50670.png,Nf7#
data/1370.png,xb2
data/1467.png,a5
data2/50953.png,Kc4
data/106.png,Kg4+
data/751.png,Rb5#
test_data/images/1579.jpe,a4
data2/50518.png,e4
data2/51371.png,d3
data2/50133.png,Rf1+
data2/50208.png,Nxc2
test_data/images/1384.jpe,c5
test_data/images/2271.jpe,Rb8
data/153.png,Ng6#
data2/50843.png,Kf1#
data2/50212.png,Qxb6
data/127.png,Qxd2
data2/51037.png,b1
data2/51450.png,g3#
data2/51356.png,Be1
data/1293.png,xa3
data/1226.png,Ba8+
test_data/images/1768.jpe,Bd6
data2/51235.png,Qxg1
data/922.png,Ng1+
data/546.png,Qa8+
data/1158.png,Be3
data2/50614.png,Bxf5
data/1048.png,h1+
data/126.png,Qb3
data/908.png,Qf2+
data/936.png,h8+
test_data/images/1958.jpe,Nxd2
test_data/images/2034.jpe,Nxe5
data2/50242.png,Nh8#
data2/50914.png,Nf7+
test_data/images/2262.jpe,f3
data2/50465.png,f6
test_data/images/1330.png,e5
